fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
47,4168707509,Bursera kerberi,20.709167,-103.273611,7,1996,22.52083,17.59167,62.82738,279.91443,36,8,28,24.75,22.01667,25.61667,18.75,803,219,3,121.6946,568,11,179,26,1202
48,4168707505,Bursera kerberi,20.873889,-103.7185,7,1969,24.26667,19.03333,63.65663,287.72885,38.9,9,29.9,26.56667,23.81667,27.58333,20.46667,821,222,2,121.16959,582,13,174,33,1158
49,4168707492,Bursera kerberi,19.851667,-104.284,6,1987,22.65,17.26667,66.15582,227.83568,35,8.9,26.1,24.33333,21.46667,25.01667,19.51667,932,222,3,112.02625,611,18,406,43,937
50,4168707439,Bursera kerberi,19.626167,-103.353833,6,1985,21.0125,16.24167,65.75574,225.98396,32.6,7.9,24.7,23.15,19.93333,23.38333,17.88333,999,216,3,106.4287,615,14,429,52,1388
51,4168707432,Bursera kerberi,20.144444,-104.114722,11,2002,19.6375,16.89167,64.71903,219.35986,32.3,6.2,26.1,21.53333,18.7,21.98333,16.65,896,217,6,105.99885,565,22,420,52,1488
52,4168707424,Bursera kerberi,19.350658,-103.813644,6,1984,25.41667,14.96667,73.00813,143.70634,35.4,14.9,20.5,26.4,24.53333,26.98333,23.46667,904,214,1,113.92428,621,8,329,40,544
53,4168707380,Bursera kerberi,20.808611,-103.3875,10,2006,21.14583,17.65833,63.29152,265.26535,34.8,6.9,27.9,23.25,20.65,24.1,17.61667,823,222,2,120.46705,579,13,183,29,1493
54,4168707369,Bursera kerberi,19.483472,-103.350222,8,1993,21.69167,16.35,65.66265,212.1624,33.5,8.6,24.9,23.16667,20.63333,23.95,18.75,986,218,2,109.93215,629,10,419,47,1285
55,4062231001,Bursera kerberi,18.192778,-100.976667,4,1937,26.11667,13.98333,69.56882,139.46869,36.6,16.5,20.1,25.53333,26.63333,28.2,24.85,1141,267,2,118.79337,788,9,222,25,656
56,4062135979,Bursera kerberi,18.235,-100.942778,7,1936,26.7125,14.20833,69.64869,139.85588,37.2,16.8,20.4,26.13333,27.23333,28.78333,25.43333,1075,263,1,119.61546,747,7,210,24,494
57,4062062335,Bursera kerberi,20.845833,-103.329167,9,1973,24.02917,17.975,61.13945,305.93713,38.3,8.9,29.4,26.38333,23.63333,27.53333,19.96667,821,219,2,120.64844,577,11,179,30,962
58,4062051669,Bursera kerberi,18.05,-101.066667,5,1937,24.83333,14.08333,69.37603,146.85077,35.3,15,20.3,24.51667,25.36667,26.96667,23.3,1203,283,2,116.70982,814,9,236,26,919
59,4061982248,Bursera kerberi,18.89,-100.23,5,1935,22.45833,15.66667,63.94558,193.88177,35.2,10.7,24.5,22.28333,23.06667,25.18333,20.31667,1327,280,6,108.76249,819,21,322,33,1145
60,4061453335,Bursera kerberi,18.86666,-100.28305,1,1935,22.19583,14.99167,64.61926,182.50105,34.3,11.1,23.2,22.03333,22.76667,24.76667,20.18333,1318,279,6,107.7821,807,20,312,32,1209
61,4061440572,Bursera kerberi,18.77,-103.16,10,1938,22.7375,14.70833,68.73053,160.72456,33,11.6,21.4,23.75,22.05,24.45,20.48333,1193,253,4,101.7749,700,25,484,48,1018
62,4061421343,Bursera kerberi,19.1,-99.78333,6,1932,7.70833,12.46667,74.6507,123.2852,15.5,-1.2,16.7,8.63333,6.45,8.8,5.91667,1413,266,19,86.9155,771,74,594,76,4048
63,4032138009,Bursera kerberi,20.903333,-103.836944,6,2007,23.6625,18.49167,64.20718,279.29391,37.8,9,28.8,25.98333,23.1,26.8,19.95,798,219,1,122.83146,574,12,173,34,1247
64,4032135179,Bursera kerberi,19.65,-104.316667,7,2006,19.17917,14.15833,65.54784,217.30226,29.2,7.6,21.6,21.1,17.75,21.36667,16.25,1156,275,4,109.82744,761,22,706,70,1406
65,4031793880,Bursera kerberi,18.075278,-100.952667,5,2011,25.9625,14.35833,70.73071,141.92067,36.6,16.3,20.3,25.13333,26.71667,28.06667,24.88333,1215,285,2,116.85163,824,10,240,26,881
66,4031735875,Bursera kerberi,19.423333,-103.971667,7,2009,19.37917,14.65833,66.93303,202.77011,29.3,7.4,21.9,21.1,18.1,21.4,16.61667,1115,256,3,109.08932,728,16,672,66,1381
67,4031730500,Bursera kerberi,18.414528,-102.124764,8,2009,23.53333,14.06667,73.26389,111.17827,33,13.8,19.2,24,23.1,24.86667,22.08333,885,197,2,111.65288,573,7,368,31,915
68,4031374305,Bursera kerberi,20.931389,-103.384444,5,2015,22.26667,17.55,62.90322,278.89664,35.9,8,27.9,24.48333,21.75,25.41667,18.56667,791,214,2,120.35807,557,13,174,29,1351
69,3925238583,Bursera kerberi,19.510028,-103.840753,7,2022,24.0125,17.35833,69.99328,178.40358,35.8,11,24.8,25.3,22.95,25.86667,21.55,708,163,1,104.56258,443,11,297,50,910
70,3923415566,Bursera kerberi,19.503811,-100.910289,7,2022,22.50833,17.1,64.77273,212.64389,35.6,9.2,26.4,22.76667,22.78333,25.38333,19.91667,959,249,3,115.86427,637,24,205,26,1045
71,3912273689,Bursera kerberi,20.159922,-103.190324,9,2022,19.82083,12.44167,59.8157,237.27103,30.2,9.4,20.8,21.76667,19.26667,22.35,16.55,765,191,3,112.14471,504,15,194,37,1525
72,3889145726,Bursera kerberi,19.614543,-101.029804,7,2022,18.14167,15.46667,65.53672,197.68932,30,6.4,23.6,19.26667,18.3,20.63333,15.61667,864,205,7,106.84133,544,27,207,35,1738
73,3881667849,Bursera kerberi,19.61276,-103.774863,7,2022,20.54167,16.71667,66.07378,203.12148,32.7,7.4,25.3,21.93333,19.51667,22.78333,17.78333,1006,225,4,105.17295,632,18,420,65,1430
74,3859728470,Bursera kerberi,20.725622,-103.285264,6,2022,22.39167,17.33333,62.80193,278.54193,35.7,8.1,27.6,24.61667,21.9,25.46667,18.65,805,219,2,121.47099,569,11,178,27,1219
75,371237944,Bursera kerberi,18.189167,-101.190833,7,1999,23.18333,13.9,68.47291,156.80524,33.5,13.2,20.3,23.18333,23.56667,25.38333,21.35,1117,263,2,114.75826,742,8,228,27,1233
76,371230881,Bursera kerberi,18.21075,-101.167278,11,1998,24.00417,14.125,68.90244,154.11714,34.4,13.9,20.5,23.95,24.4,26.18333,22.23333,1114,264,2,116.01695,750,9,220,27,1049
77,3320879397,Bursera kerberi,19.135905,-101.942756,9,2020,23.82917,15.925,67.76595,174.02272,35.4,11.9,23.5,24.33333,23.53333,26.03333,21.56667,811,200,3,114.1991,535,10,172,24,742
78,3308761608,Bursera kerberi,21.09472,-104.578,6,2014,22.825,17.25,64.60674,257.27151,35.5,8.8,26.7,25.33333,23.23333,25.41667,19.3,962,274,2,120.63727,660,13,448,57,880
79,3308745512,Bursera kerberi,19.70556,-104.36306,7,1994,21.4125,15.80833,66.14365,218.89314,32.7,8.8,23.9,23.18333,20.11667,23.65,18.43333,1035,243,3,111.70162,689,19,427,53,1127
80,3308725470,Bursera kerberi,20.93139,-103.384,5,2015,22.26667,17.55,62.90322,278.89664,35.9,8,27.9,24.48333,21.75,25.41667,18.56667,791,214,2,120.35807,557,13,174,29,1351
81,3308720601,Bursera kerberi,19.67778,-104.01944,9,1993,21.18333,15.76667,66.52602,197.8904,32.5,8.8,23.7,22.6,20.08333,23.23333,18.46667,946,226,4,108.40661,607,19,412,61,1292
