species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_03,bio_05,bio_06,bio_10,bio_13,bio_14,bio_17,bio_18,bio_19
Icterus auratus,-87.20631,20.84551,3,2024,5633149902,"c(-87.20631, 20.84551)",19,22.899999618530273,204,43,426,66.9697036743164,195.45205688476563,16.499998092651367,26.950000762939453,24.350000381469727
Icterus auratus,-90.13568,20.86555,11,2021,5631514944,"c(-90.13568, 20.86555)",6,23.950000762939453,146,12,301,69.98157501220703,177.23037719726563,18.10000228881836,27.650001525878906,26.03333282470703
Icterus auratus,-89.48922,20.538708,3,2020,5627668944,"c(-89.48922, 20.538708)",14,22.883333206176758,195,25,276,66.58914947509766,208.4230194091797,21.499998092651367,27.03333282470703,23.78333282470703
Icterus auratus,-87.57482,20.345404,7,2024,5621650099,"c(-87.57482, 20.345404)",21,23.116666793823242,185,41,388,70.57926940917969,175.90191650390625,16.399999618530273,26.733333587646484,24.516666412353516
Icterus auratus,-88.56188,19.390064,1,2024,5620133212,"c(-88.56188, 19.390064)",26,23.41666603088379,181,31,374,72.05615997314453,174.0314178466797,18.399999618530273,26.866666793823242,25.21666717529297
Icterus auratus,-89.48484,18.517132,12,2024,5618115792,"c(-89.48484, 18.517132)",283,22.149999618530273,190,23,343,70.07978057861328,188.64498901367188,18.80000114440918,25.600000381469727,24.366666793823242
Icterus auratus,-88.32094,21.348877,7,2024,5614776911,"c(-88.32094, 21.348877)",9,23.233333587646484,183,32,380,71.03387451171875,183.7735595703125,18.69999885559082,27.28333282470703,25.183334350585938
Icterus auratus,-88.63452,21.368711,1,2019,5612811198,"c(-88.63452, 21.368711)",5,23.183334350585938,162,25,350,70.67567443847656,182.7457733154297,18.5,27.16666603088379,25.133333206176758
Icterus auratus,-90.104706,20.239384,6,2020,5612214473,"c(-90.104706, 20.239384)",10,23.883333206176758,208,20,275,67.75544738769531,191.98721313476563,19.899999618530273,27.66666603088379,26.21666717529297
Icterus auratus,-89.59819,19.772701,11,2024,5609239712,"c(-89.59819, 19.772701)",123,22.700000762939453,202,25,281,66.99029541015625,204.27255249023438,20.599998474121094,26.833332061767578,23.600000381469727
Icterus auratus,-88.27765,18.51055,12,1987,5606054555,"c(-88.27765, 18.51055)",6,24.200000762939453,193,24,477,68.6032943725586,163.34744262695313,14.19999885559082,27.58333396911621,25.866666793823242
Icterus auratus,-89.8105,19.87197,1,2024,5605213928,"c(-89.8105, 19.87197)",102,22.91666603088379,203,21,275,65.36585235595703,208.38121032714844,20.5,27.03333282470703,23.816665649414063
