species,decimalLatitude,decimalLongitude,month,year,gbifID
Icterus auratus,20.565056,-88.51852,6,2015,5710131900
Icterus auratus,21.25077,-89.269424,6,2022,5710003768
Icterus auratus,21.140053,-86.819176,9,2024,5709989565
Icterus auratus,20.67011,-87.031845,3,2011,5709858561
Icterus auratus,20.805305,-89.561386,7,2017,5709715714
Icterus auratus,21.029661,-86.82903,10,2017,5709479945
Icterus auratus,20.295918,-87.514854,12,2023,5709372102
Icterus auratus,21.152851,-86.83314,4,2016,5709292157
Icterus auratus,20.116982,-89.72453,2,2019,5709242490
Icterus auratus,20.631044,-87.10742,4,2024,5709231331
Icterus auratus,20.987265,-89.73447,5,2024,5709159187
Icterus auratus,21.214981,-89.33627,1,2021,5709038823
Icterus auratus,21.086056,-86.85286,2,2017,5708970070
Icterus auratus,19.5803,-88.0441,8,2013,5708924683
Icterus auratus,21.306982,-89.552475,12,2024,5708717064
Icterus auratus,20.365643,-90.218834,2,2007,5708640257
Icterus auratus,20.982492,-89.689766,4,2017,5708514513
Icterus auratus,21.200855,-86.82227,3,2014,5708025261
Icterus auratus,21.215939,-87.72761,2,2022,5707843893
Icterus auratus,21.079966,-89.717575,3,2024,5707657630
Icterus auratus,21.11787,-86.83082,4,2018,5707560282
Icterus auratus,20.287731,-86.992455,1,2005,5707493481
Icterus auratus,21.063877,-89.61123,8,2017,5707487760
Icterus auratus,21.40902,-87.874535,5,2017,5707455820
Icterus auratus,21.556562,-88.191376,3,2015,5707422344
Icterus auratus,20.171827,-89.57874,2,2024,5707266414
Icterus auratus,18.610947,-89.30374,2,1997,5706808477
Icterus auratus,21.15098,-89.595085,8,2024,5706791753
Icterus auratus,20.598888,-88.14389,8,2015,5706541046
Icterus auratus,20.234665,-87.5005,5,2020,5706323644
Icterus auratus,21.54,-88.252,3,2019,5705890553
Icterus auratus,21.173317,-89.99726,1,2024,5705787943
Icterus auratus,20.319376,-87.544044,6,2020,5705763093
Icterus auratus,21.397549,-87.33468,4,2024,5705560370
Icterus auratus,20.48644,-87.24681,3,2024,5705542513
Icterus auratus,21.23204,-89.828674,6,2019,5705517936
Icterus auratus,19.921139,-90.36149,7,2024,5705515882
Icterus auratus,21.146683,-86.81455,6,2020,5705448296
Icterus auratus,20.861324,-86.90894,1,2019,5705111041
Icterus auratus,18.419352,-88.791504,2,2005,5704967037
Icterus auratus,20.076487,-87.61389,12,2024,5704826365
Icterus auratus,20.375204,-87.33916,11,2016,5704606554
Icterus auratus,20.893196,-88.14436,1,2024,5704563652
Icterus auratus,21.102148,-86.79325,10,2019,5704555593
Icterus auratus,20.863083,-87.04727,2,2017,5704310684
Icterus auratus,21.32229,-89.291374,5,2018,5704224515
